filename,time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec)
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:02:57.145774,176.60377358490567
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:06:41.598604,401.0566037735849
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:10:57.145774,656.6037735849056
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:17:52.542000,1072.0
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:19:34.428792,1173.8867924528302
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:20:33.296717,1232.754716981132
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:22:23.636340,1343.0943396226414
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:30:52.466528,1851.9245283018868
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:39:25.070302,2364.5283018867926
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:46:54.428792,2813.8867924528304
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:47:31.711811,2851.169811320755
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:56:32.391057,3391.8490566037735
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:57:18.881623,3438.3396226415093
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T00:58:07.032566,3486.490566037736
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T01:02:19.108038,3738.566037735849
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T01:04:56.089170,3895.5471698113206
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T01:09:31.560868,4171.018867924528
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T01:10:15.636340,4215.094339622641
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T01:14:54.428792,4493.88679245283
/Users/adamlam/Library/Mobile Documents/com~apple~CloudDocs/Code/Space_Apps/space_apps_2024_seismic_detection/data/lunar/training/data/S12_GradeA/xa.s12.00.mhz.1975-06-26HR00_evid00198.mseed,1975-06-26T01:17:22.051434,4641.509433962264
